x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
-1.38,-0.5438383498266419,-0.5811243145767916,-0.6045606761260952,-0.607073540883283,-0.6090156216276639,-0.6092540989986402,-0.6094441940334919
-1.3599999999999999,-0.5452495712073169,-0.581818163174732,-0.6046983438097563,-0.6071423324625354,-0.6090293740741709,-0.6092609748832173,-0.6094455691571259
-1.3399999999999999,-0.5466396630573483,-0.5825017433341105,-0.6048339949401939,-0.6072101177441569,-0.6090429255664817,-0.6092677503094239,-0.6094469241920705
-1.3199999999999998,-0.5480086461361033,-0.5831750603919907,-0.6049676297339692,-0.6072768967814359,-0.6090562761063885,-0.6092744252775999,-0.6094482591383049
-1.2999999999999998,-0.549356541050007,-0.583838119651619,-0.6050992484080239,-0.6073426696283079,-0.6090694256958863,-0.609280999788191,-0.6094495739958299
-1.28,-0.5506833682472402,-0.5844909263810458,-0.6052288511796176,-0.6074074363393375,-0.6090823743371722,-0.609287473841749,-0.6094508687646683
-1.26,-0.551989148012458,-0.5851334858117502,-0.605356438266266,-0.6074711969697026,-0.6090951220326433,-0.6092938474389301,-0.6094521434448646
-1.24,-0.55327390046153,-0.5857658031372663,-0.60548200988568,-0.6075339515751768,-0.6091076687848961,-0.6093001205804961,-0.609453398036485
-1.22,-0.5545376455363037,-0.5863878835118158,-0.605605566255702,-0.607595700212111,-0.6091200145967249,-0.6093062932673121,-0.6094546325396175
-1.2,-0.5557804029993965,-0.5869997320489417,-0.6057271075942426,-0.6076564429374168,-0.6091321594711209,-0.6093123655003471,-0.6094558469543717
-1.18,-0.5570021924290142,-0.5876013538201504,-0.6058466341192174,-0.6077161798085476,-0.6091441034112703,-0.6093183372806731,-0.6094570412808785
-1.1600000000000001,-0.5582030332138005,-0.5881927538535566,-0.6059641460484831,-0.6077749108834805,-0.609155846420553,-0.6093242086094646,-0.6094582155192901
-1.1400000000000001,-0.5593829445477199,-0.5887739371325349,-0.6060796435997736,-0.6078326362206967,-0.609167388502541,-0.6093299794879979,-0.6094593696697803
-1.12,-0.560541945424974,-0.5893449085943789,-0.6061931269906348,-0.607889355879164,-0.6091787296609968,-0.6093356499176501,-0.6094605037325438
-1.1,-0.5616800546349562,-0.5899056731289664,-0.60630459643836,-0.6079450699183166,-0.6091898698998712,-0.609341219899899,-0.6094616177077962
-1.08,-0.5627972907572427,-0.5904562355774319,-0.606414052159925,-0.6079997783980358,-0.6092008092233028,-0.6093466894363219,-0.6094627115957743
-1.06,-0.5638936721566267,-0.590996600730849,-0.6065214943719228,-0.6080534813786301,-0.6092115476356145,-0.6093520585285945,-0.6094637853967355
-1.04,-0.564969216978194,-0.5915267733289195,-0.6066269232904974,-0.6081061789208164,-0.6092220851413132,-0.6093573271784912,-0.6094648391109581
-1.02,-0.5660239431424445,-0.5920467580586737,-0.6067303391312785,-0.6081578710856983,-0.6092324217450866,-0.6093624953878831,-0.6094658727387403
