x u_star u_num
1.800000e+00 6.321561e+00 6.326358e+00
1.820000e+00 6.412061e+00 6.416276e+00
1.840000e+00 6.503561e+00 6.507185e+00
1.860000e+00 6.596061e+00 6.599093e+00
1.880000e+00 6.689561e+00 6.692009e+00
1.900000e+00 6.784061e+00 6.785943e+00
1.920000e+00 6.879561e+00 6.880911e+00
1.940000e+00 6.976061e+00 6.976929e+00
1.960000e+00 7.073561e+00 7.074022e+00
1.980000e+00 7.172061e+00 7.172219e+00
2.000000e+00 7.271561e+00 7.271561e+00
