x m_star m_num
1.440000e+00 5.000489e-03 5.731526e-03
1.460000e+00 4.325534e-03 4.996809e-03
1.480000e+00 3.734208e-03 4.348292e-03
1.500000e+00 3.217278e-03 3.776933e-03
1.520000e+00 2.766369e-03 3.274491e-03
1.540000e+00 2.373904e-03 2.833474e-03
1.560000e+00 2.033047e-03 2.447088e-03
1.580000e+00 1.737654e-03 2.109191e-03
1.600000e+00 1.482212e-03 1.814240e-03
1.620000e+00 1.261795e-03 1.557250e-03
1.640000e+00 1.072010e-03 1.333745e-03
1.660000e+00 9.089508e-04 1.139717e-03
1.680000e+00 7.691538e-04 9.715866e-04
1.700000e+00 6.495573e-04 8.261627e-04
1.720000e+00 5.474609e-04 7.006086e-04
1.740000e+00 4.604899e-04 5.924076e-04
1.760000e+00 3.865615e-04 4.993322e-04
1.780000e+00 3.238534e-04 4.194155e-04
1.800000e+00 2.707757e-04 3.509239e-04
1.820000e+00 2.259449e-04 2.923336e-04
1.840000e+00 1.881597e-04 2.423073e-04
1.860000e+00 1.563803e-04 1.996745e-04
1.880000e+00 1.297087e-04 1.634127e-04
1.900000e+00 1.073711e-04 1.326305e-04
1.920000e+00 8.870276e-05 1.065524e-04
1.940000e+00 7.313382e-05 8.450543e-05
1.960000e+00 6.017705e-05 6.590650e-05
1.980000e+00 4.941683e-05 5.025171e-05
2.000000e+00 4.049955e-05 4.050013e-05
