======================================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (NEWTON TYPE 2: NEWTON-PICARD)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 200, PICARD_TOL = 1e-06
  DAMPING = 0.1
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
77    | 5.5063e-04   | 2.4210e-06   | 7.9749e-04   | 5.5167e-06   | 414        | 0.1790
78    | 4.7575e-04   | 2.0911e-06   | 7.1663e-04   | 4.9573e-06   | 414        | 0.1885
79    | 4.2318e-04   | 1.8597e-06   | 5.7725e-04   | 3.9931e-06   | 413        | 0.2076
80    | 3.9124e-04   | 1.7189e-06   | 4.5610e-04   | 3.1550e-06   | 412        | 0.1698
81    | 3.6625e-04   | 1.6089e-06   | 4.0865e-04   | 2.8267e-06   | 412        | 0.1661
82    | 3.3691e-04   | 1.4797e-06   | 3.9106e-04   | 2.7050e-06   | 411        | 0.1732
83    | 3.0023e-04   | 1.3184e-06   | 3.7432e-04   | 2.5892e-06   | 411        | 0.1772
84    | 2.5959e-04   | 1.1398e-06   | 3.6651e-04   | 2.5352e-06   | 412        | 0.2319
85    | 2.2033e-04   | 9.6732e-07   | 3.7000e-04   | 2.5593e-06   | 412        | 0.2883
86    | 1.8674e-04   | 8.1977e-07   | 3.6840e-04   | 2.5482e-06   | 412        | 0.1843
87    | 1.6099e-04   | 7.0668e-07   | 3.4228e-04   | 2.3676e-06   | 412        | 0.2028
88    | 1.4307e-04   | 6.2794e-07   | 2.9458e-04   | 2.0376e-06   | 412        | 0.1710
89    | 1.3136e-04   | 5.7651e-07   | 2.6842e-04   | 1.8567e-06   | 412        | 0.1867
90    | 1.2403e-04   | 5.4431e-07   | 2.5564e-04   | 1.7683e-06   | 412        | 0.1816
91    | 1.1999e-04   | 5.2654e-07   | 2.4577e-04   | 1.7000e-06   | 412        | 0.1777
92    | 1.1843e-04   | 5.1964e-07   | 2.3669e-04   | 1.6372e-06   | 412        | 0.2106
93    | 1.1783e-04   | 5.1698e-07   | 2.2768e-04   | 1.5749e-06   | 412        | 0.1778
94    | 1.1612e-04   | 5.0946e-07   | 2.1872e-04   | 1.5129e-06   | 413        | 0.2381
95    | 1.1183e-04   | 4.9062e-07   | 2.0994e-04   | 1.4522e-06   | 413        | 0.1799
96    | 1.0471e-04   | 4.5933e-07   | 2.0162e-04   | 1.3947e-06   | 413        | 0.2298
97    | 9.5176e-05   | 4.1750e-07   | 1.9393e-04   | 1.3414e-06   | 413        | 0.1755
98    | 8.3671e-05   | 3.6702e-07   | 1.8659e-04   | 1.2907e-06   | 413        | 0.1976
99    | 7.0623e-05   | 3.0977e-07   | 1.7958e-04   | 1.2422e-06   | 413        | 0.1768
100   | 5.6925e-05   | 2.4968e-07   | 1.7286e-04   | 1.1957e-06   | 413        | 0.2216
101   | 4.4099e-05   | 1.9342e-07   | 1.6636e-04   | 1.1507e-06   | 413        | 0.1791
102   | 3.3874e-05   | 1.4857e-07   | 1.5998e-04   | 1.1066e-06   | 413        | 0.1777
103   | 2.7219e-05   | 1.1938e-07   | 1.5373e-04   | 1.0633e-06   | 413        | 0.1782
104   | 2.3468e-05   | 1.0293e-07   | 1.4766e-04   | 1.0214e-06   | 413        | 0.1804
105   | 2.1118e-05   | 9.2621e-08   | 1.4190e-04   | 9.8154e-07   | 413        | 0.2328
----------------------------------------------------------------------------------------------------------------------
CONVERGED at nu=0.02 in 105 iterations.
Total Execution Time: 20.5393 seconds.
