x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
-0.26,-0.5828962124667316,-0.5960705221945304,-0.6006970039481734,-0.6008727282994977,-0.6009459072915689,-0.6009508041900125,-0.6009540384707799
-0.24,-0.5831514020075684,-0.5961968172755727,-0.6007222048363527,-0.6008853302864267,-0.6009484281105628,-0.6009520646313795,-0.6009542905643301
-0.21999999999999997,-0.5833861477684982,-0.5963129987779181,-0.6007453883841704,-0.6008969235264916,-0.6009507471539882,-0.6009532241828854,-0.6009545224795617
-0.19999999999999996,-0.5836004559837511,-0.5964190687433182,-0.6007665548193021,-0.600907508121856,-0.600952864440396,-0.6009542828536871,-0.6009547342182873
-0.17999999999999994,-0.5837943325311533,-0.596515029126631,-0.6007857043675517,-0.600917084174755,-0.6009547799885131,-0.6009552406530407,-0.6009549257823402
-0.15999999999999992,-0.583967782930534,-0.5966008817952723,-0.6008028372527838,-0.600925651787464,-0.6009564938172383,-0.6009560975902976,-0.6009550971735754
-0.1399999999999999,-0.5841208123422359,-0.5966766285286904,-0.6008179536968573,-0.6009332110622684,-0.6009580059456351,-0.600956853674902,-0.6009552483938679
-0.11999999999999988,-0.584253425565728,-0.5967422710178689,-0.6008310539195595,-0.6009397621014326,-0.6009593163929271,-0.600957508916389,-0.6009553794451122
-0.09999999999999987,-0.5843656270383216,-0.5967978108648537,-0.6008421381385403,-0.6009453050071694,-0.6009604251784919,-0.6009580633243802,-0.6009554903292221
-0.08000000000000007,-0.5844574208339907,-0.5968432495823063,-0.6008512065692478,-0.6009498398816089,-0.6009613323218543,-0.6009585169085817,-0.6009555810481295
-0.06000000000000005,-0.5845288106622956,-0.5968785885930833,-0.600858259424864,-0.6009533668267677,-0.6009620378426815,-0.6009588696787809,-0.6009556516037847
-0.040000000000000036,-0.5845797998674127,-0.5969038292298421,-0.6008632969162416,-0.6009558859445189,-0.6009625417607766,-0.6009591216448434,-0.6009557019981552
-0.020000000000000018,-0.5846103914272673,-0.5969189727346726,-0.6008663192518405,-0.6009573973365601,-0.6009628440960725,-0.6009592728167106,-0.6009557322332246
0.0,-0.5846205879527733,-0.596924020258757,-0.6008673266376665,-0.6009579011043843,-0.600962944868626,-0.6009593232043954,-0.6009557423109938
0.020000000000000018,-0.5846103914272672,-0.5969189727346728,-0.6008663192518403,-0.6009573973365597,-0.600962844096073,-0.6009592728167109,-0.6009557322332243
0.040000000000000036,-0.5845797998674124,-0.5969038292298423,-0.6008632969162412,-0.6009558859445183,-0.6009625417607779,-0.6009591216448442,-0.6009557019981543
0.06000000000000005,-0.5845288106622951,-0.5968785885930837,-0.6008582594248635,-0.6009533668267671,-0.6009620378426834,-0.600958869678782,-0.6009556516037837
0.08000000000000007,-0.5844574208339902,-0.5968432495823067,-0.6008512065692468,-0.6009498398816081,-0.6009613323218567,-0.600958516908583,-0.6009555810481281
0.10000000000000009,-0.5843656270383211,-0.5967978108648543,-0.6008421381385392,-0.6009453050071687,-0.6009604251784948,-0.6009580633243818,-0.6009554903292204
0.1200000000000001,-0.5842534255657273,-0.5967422710178695,-0.600831053919558,-0.6009397621014317,-0.6009593163929307,-0.6009575089163909,-0.6009553794451103
0.14000000000000012,-0.5841208123422352,-0.596676628528691,-0.6008179536968556,-0.6009332110622675,-0.600958005945639,-0.6009568536749044,-0.6009552483938657
0.16000000000000014,-0.5839677829305333,-0.5966008817952728,-0.6008028372527819,-0.600925651787463,-0.6009564938172428,-0.6009560975903001,-0.600955097173573
0.18000000000000016,-0.5837943325311525,-0.5965150291266318,-0.6007857043675496,-0.6009170841747541,-0.6009547799885182,-0.6009552406530436,-0.6009549257823373
0.20000000000000018,-0.5836004559837504,-0.5964190687433188,-0.6007665548192999,-0.6009075081218551,-0.6009528644404015,-0.6009542828536902,-0.6009547342182843
0.2200000000000002,-0.5833861477684974,-0.5963129987779188,-0.600745388384168,-0.6008969235264906,-0.6009507471539943,-0.6009532241828885,-0.6009545224795587
0.2400000000000002,-0.5831514020075675,-0.5961968172755733,-0.6007222048363502,-0.6008853302864257,-0.6009484281105691,-0.6009520646313826,-0.6009542905643271
0.26000000000000023,-0.5828962124667308,-0.596070522194531,-0.6006970039481706,-0.6008727282994965,-0.6009459072915758,-0.6009508041900157,-0.6009540384707767
0.28000000000000025,-0.5826205725570471,-0.5959341114067215,-0.6006697854901493,-0.6008591174636412,-0.6009431846786463,-0.6009494428497317,-0.6009537661971169
0.30000000000000027,-0.5823244753366617,-0.5957875826983547,-0.6006405492310698,-0.600844497676931,-0.6009402602536004,-0.6009479806015793,-0.6009534737415797
0.31999999999999984,-0.5820079135127012,-0.5956309337705458,-0.6006092949380483,-0.6008288688376001,-0.6009371339984519,-0.6009464174367137,-0.60095316110242
0.33999999999999986,-0.5816708794432691,-0.5954641622399627,-0.600576022376602,-0.6008122308440761,-0.6009338058954137,-0.6009447533464002,-0.6009528282779162
0.3599999999999999,-0.5813133651395408,-0.5952872656394999,-0.6005407313107193,-0.6007945835950109,-0.6009302759269024,-0.6009429883220156,-0.6009524752663704
0.3799999999999999,-0.5809353622679557,-0.5951002414189744,-0.6005034215029292,-0.6007759269893111,-0.6009265440755449,-0.6009411223550517,-0.6009521020661098
0.3999999999999999,-0.5805368621525083,-0.5949030869458468,-0.6004640927143714,-0.6007562609261672,-0.6009226103241829,-0.600939155437118,-0.6009517086754863
0.41999999999999993,-0.5801178557771347,-0.5946957995059646,-0.6004227447048668,-0.6007355853050846,-0.6009184746558779,-0.6009370875599438,-0.6009512950928777
0.43999999999999995,-0.5796783337881952,-0.5944783763043283,-0.6003793772329886,-0.6007139000259136,-0.600914137053917,-0.6009349187153805,-0.6009508613166875
0.45999999999999996,-0.5792182864970518,-0.5942508144658818,-0.6003339900561331,-0.6006912049888784,-0.6009095975018173,-0.6009326488954045,-0.6009504073453461
0.48,-0.5787377038827376,-0.5940131110363241,-0.6002865829305908,-0.6006675000946069,-0.600904855983331,-0.6009302780921202,-0.6009499331773105
0.5,-0.5782365755947217,-0.593765262982943,-0.6002371556116183,-0.6006427852441609,-0.6008999124824507,-0.6009278062977604,-0.6009494388110653
