=========================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (HIGH DIFFICULTY) 
=========================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 200, PICARD_TOL = 1e-06
  DAMPING = 0.3
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-08
Grid Info:
  dt = 0.010000, dx = 0.005000
---------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)
96    | 2.1155e-02   | 9.3216e-05   | 1.0772e-01   | 6.3481e-04   | 410        | 0.1015
97    | 2.5340e-02   | 1.1167e-04   | 1.1330e-01   | 6.6650e-04   | 409        | 0.1012
98    | 2.6302e-02   | 1.1621e-04   | 1.1058e-01   | 6.5176e-04   | 405        | 0.1002
99    | 2.7797e-02   | 1.2302e-04   | 1.1965e-01   | 7.0293e-04   | 409        | 0.1013
100   | 3.0440e-02   | 1.3478e-04   | 1.4311e-01   | 8.4291e-04   | 403        | 0.0998
101   | 3.6399e-02   | 1.6173e-04   | 1.3469e-01   | 7.8994e-04   | 413        | 0.1016
102   | 3.3888e-02   | 1.5100e-04   | 1.4354e-01   | 8.4445e-04   | 401        | 0.0992
103   | 3.6074e-02   | 1.6070e-04   | 1.4412e-01   | 8.4458e-04   | 415        | 0.1028
104   | 3.3882e-02   | 1.5110e-04   | 1.4884e-01   | 8.7574e-04   | 399        | 0.0992
105   | 3.6464e-02   | 1.6303e-04   | 1.4085e-01   | 8.2521e-04   | 416        | 0.1026
106   | 3.4040e-02   | 1.5214e-04   | 1.3886e-01   | 8.1690e-04   | 402        | 0.0995
107   | 3.4300e-02   | 1.5315e-04   | 1.4139e-01   | 8.2900e-04   | 416        | 0.1027
108   | 3.5481e-02   | 1.5833e-04   | 1.4329e-01   | 8.4365e-04   | 401        | 0.0990
109   | 3.3965e-02   | 1.5158e-04   | 1.3540e-01   | 7.9404e-04   | 418        | 0.1028
110   | 3.2200e-02   | 1.4351e-04   | 1.3951e-01   | 8.2126e-04   | 407        | 0.1009
111   | 3.2015e-02   | 1.4256e-04   | 1.3555e-01   | 7.9507e-04   | 418        | 0.1030
112   | 3.1353e-02   | 1.3941e-04   | 1.3150e-01   | 7.7467e-04   | 407        | 0.1006
113   | 2.9261e-02   | 1.2998e-04   | 1.3002e-01   | 7.6327e-04   | 419        | 0.1032
114   | 2.9913e-02   | 1.3265e-04   | 1.3444e-01   | 7.9221e-04   | 408        | 0.1012
115   | 2.9019e-02   | 1.2866e-04   | 1.2930e-01   | 7.5929e-04   | 417        | 0.1024
116   | 2.7476e-02   | 1.2164e-04   | 1.2236e-01   | 7.2121e-04   | 408        | 0.1006
117   | 2.4104e-02   | 1.0661e-04   | 1.2129e-01   | 7.1298e-04   | 417        | 0.1038
118   | 2.4907e-02   | 1.0998e-04   | 1.2423e-01   | 7.3249e-04   | 408        | 0.1011
119   | 2.3756e-02   | 1.0489e-04   | 1.2031e-01   | 7.0753e-04   | 416        | 0.1025
120   | 2.1910e-02   | 9.6590e-05   | 1.1177e-01   | 6.5895e-04   | 407        | 0.1004
121   | 1.8359e-02   | 8.0923e-05   | 1.0894e-01   | 6.4137e-04   | 415        | 0.1027
122   | 1.8465e-02   | 8.1316e-05   | 1.0125e-01   | 5.9682e-04   | 405        | 0.1004
123   | 1.7594e-02   | 7.7465e-05   | 1.0316e-01   | 6.0794e-04   | 415        | 0.1024
124   | 1.8437e-02   | 8.1050e-05   | 1.0127e-01   | 5.9676e-04   | 405        | 0.1001
125   | 1.8321e-02   | 8.0648e-05   | 1.0265e-01   | 6.0504e-04   | 412        | 0.1025
126   | 2.0408e-02   | 8.9851e-05   | 1.0281e-01   | 6.0536e-04   | 404        | 0.0998
127   | 2.2024e-02   | 9.7083e-05   | 1.0069e-01   | 5.9376e-04   | 408        | 0.1007
128   | 2.2531e-02   | 9.9409e-05   | 1.0569e-01   | 6.2166e-04   | 408        | 0.1014
129   | 2.6390e-02   | 1.1652e-04   | 1.2567e-01   | 7.4029e-04   | 404        | 0.1000
130   | 3.1609e-02   | 1.3986e-04   | 1.2785e-01   | 7.5054e-04   | 411        | 0.1013
131   | 3.1562e-02   | 1.4002e-04   | 1.3981e-01   | 8.2317e-04   | 402        | 0.0996
132   | 3.6063e-02   | 1.6031e-04   | 1.3828e-01   | 8.1071e-04   | 414        | 0.1023
133   | 3.3697e-02   | 1.5010e-04   | 1.4614e-01   | 8.5990e-04   | 398        | 0.0983
134   | 3.6900e-02   | 1.6477e-04   | 1.4422e-01   | 8.4511e-04   | 415        | 0.1026
135   | 3.4957e-02   | 1.5623e-04   | 1.4639e-01   | 8.6093e-04   | 396        | 0.0989
136   | 3.6947e-02   | 1.6521e-04   | 1.4440e-01   | 8.4596e-04   | 417        | 0.1030
137   | 3.5894e-02   | 1.6052e-04   | 1.4824e-01   | 8.7194e-04   | 400        | 0.0993
138   | 3.6460e-02   | 1.6309e-04   | 1.4236e-01   | 8.3416e-04   | 417        | 0.1028
139   | 3.4904e-02   | 1.5605e-04   | 1.4142e-01   | 8.3212e-04   | 403        | 0.1003
140   | 3.3925e-02   | 1.5152e-04   | 1.3832e-01   | 8.1090e-04   | 418        | 0.1030
141   | 3.4091e-02   | 1.5207e-04   | 1.4174e-01   | 8.3446e-04   | 408        | 0.1004
142   | 3.3316e-02   | 1.4852e-04   | 1.3639e-01   | 7.9990e-04   | 418        | 0.1034
143   | 3.2385e-02   | 1.4418e-04   | 1.3316e-01   | 7.8410e-04   | 408        | 0.1006
144   | 3.0067e-02   | 1.3369e-04   | 1.3176e-01   | 7.7330e-04   | 418        | 0.1032
145   | 3.1249e-02   | 1.3872e-04   | 1.3651e-01   | 8.0443e-04   | 407        | 0.1012
146   | 3.0915e-02   | 1.3719e-04   | 1.3142e-01   | 7.7153e-04   | 418        | 0.1032
147   | 2.8893e-02   | 1.2807e-04   | 1.2505e-01   | 7.3680e-04   | 408        | 0.1008
148   | 2.5205e-02   | 1.1159e-04   | 1.2395e-01   | 7.2832e-04   | 417        | 0.1035
149   | 2.6508e-02   | 1.1715e-04   | 1.2828e-01   | 7.5640e-04   | 408        | 0.1015
150   | 2.6248e-02   | 1.1601e-04   | 1.2407e-01   | 7.2929e-04   | 417        | 0.1024
151   | 2.4093e-02   | 1.0634e-04   | 1.1543e-01   | 6.8040e-04   | 408        | 0.1006
152   | 2.0253e-02   | 8.9348e-05   | 1.1584e-01   | 6.8169e-04   | 415        | 0.1025
153   | 2.1307e-02   | 9.3876e-05   | 1.1460e-01   | 6.7569e-04   | 407        | 0.1008
154   | 2.0319e-02   | 8.9573e-05   | 1.1354e-01   | 6.6856e-04   | 417        | 0.1026
155   | 1.9725e-02   | 8.6812e-05   | 1.0875e-01   | 6.4093e-04   | 406        | 0.1005
156   | 1.8071e-02   | 7.9609e-05   | 1.0809e-01   | 6.3688e-04   | 414        | 0.1026
157   | 1.8853e-02   | 8.3044e-05   | 1.0039e-01   | 5.9134e-04   | 405        | 0.0999
158   | 1.8922e-02   | 8.3396e-05   | 1.0209e-01   | 6.0187e-04   | 414        | 0.1022
159   | 1.9926e-02   | 8.7746e-05   | 1.0309e-01   | 6.0690e-04   | 404        | 0.1008
160   | 2.1114e-02   | 9.3135e-05   | 1.0672e-01   | 6.2886e-04   | 410        | 0.1011
161   | 2.3624e-02   | 1.0423e-04   | 1.1095e-01   | 6.5268e-04   | 405        | 0.1000
162   | 2.4958e-02   | 1.1031e-04   | 1.1014e-01   | 6.4913e-04   | 408        | 0.1011
163   | 2.6740e-02   | 1.1836e-04   | 1.1960e-01   | 7.0272e-04   | 410        | 0.1013
164   | 3.0354e-02   | 1.3446e-04   | 1.4097e-01   | 8.3003e-04   | 403        | 0.0998
165   | 3.5203e-02   | 1.5645e-04   | 1.3373e-01   | 7.8417e-04   | 413        | 0.1019
166   | 3.2720e-02   | 1.4575e-04   | 1.4371e-01   | 8.4555e-04   | 401        | 0.0995
167   | 3.6863e-02   | 1.6433e-04   | 1.4462e-01   | 8.4733e-04   | 414        | 0.1025
168   | 3.5042e-02   | 1.5645e-04   | 1.4933e-01   | 8.7831e-04   | 397        | 0.0983
169   | 3.6210e-02   | 1.6200e-04   | 1.4271e-01   | 8.3601e-04   | 417        | 0.1033
170   | 3.4030e-02   | 1.5219e-04   | 1.4426e-01   | 8.4847e-04   | 402        | 0.0996
171   | 3.6370e-02   | 1.6264e-04   | 1.4399e-01   | 8.4366e-04   | 416        | 0.1028
172   | 3.6113e-02   | 1.6145e-04   | 1.4364e-01   | 8.4522e-04   | 400        | 0.0990
173   | 3.4071e-02   | 1.5226e-04   | 1.3840e-01   | 8.1144e-04   | 417        | 0.1044
174   | 3.3257e-02   | 1.4841e-04   | 1.4154e-01   | 8.3319e-04   | 407        | 0.1014
175   | 3.3552e-02   | 1.4964e-04   | 1.3614e-01   | 7.9828e-04   | 418        | 0.1028
176   | 3.2988e-02   | 1.4695e-04   | 1.3549e-01   | 7.9775e-04   | 407        | 0.1021
177   | 3.0602e-02   | 1.3613e-04   | 1.3376e-01   | 7.8487e-04   | 418        | 0.1037
178   | 3.0614e-02   | 1.3594e-04   | 1.3257e-01   | 7.8112e-04   | 406        | 0.1003
179   | 2.9609e-02   | 1.3144e-04   | 1.2839e-01   | 7.5380e-04   | 417        | 0.1031
180   | 2.9690e-02   | 1.3162e-04   | 1.3085e-01   | 7.7106e-04   | 408        | 0.1013
181   | 2.7239e-02   | 1.2062e-04   | 1.2715e-01   | 7.4686e-04   | 416        | 0.1024
182   | 2.5614e-02   | 1.1324e-04   | 1.1987e-01   | 7.0672e-04   | 407        | 0.1010
183   | 2.2604e-02   | 9.9893e-05   | 1.1477e-01   | 6.7482e-04   | 415        | 0.1029
184   | 2.2530e-02   | 9.9434e-05   | 1.1323e-01   | 6.6759e-04   | 406        | 0.1010
185   | 1.9216e-02   | 8.4703e-05   | 1.0814e-01   | 6.3639e-04   | 417        | 0.1033
186   | 1.7725e-02   | 7.7970e-05   | 1.0023e-01   | 5.9121e-04   | 405        | 0.1004
187   | 1.5908e-02   | 6.9969e-05   | 9.8086e-02   | 5.7795e-04   | 412        | 0.1021
188   | 1.6644e-02   | 7.3191e-05   | 8.8613e-02   | 5.2215e-04   | 404        | 0.1001
189   | 1.8548e-02   | 8.1503e-05   | 8.6910e-02   | 5.1276e-04   | 411        | 0.1018
190   | 1.8056e-02   | 7.9315e-05   | 8.5496e-02   | 5.0358e-04   | 406        | 0.1010
191   | 2.1170e-02   | 9.3073e-05   | 1.0736e-01   | 6.3280e-04   | 407        | 0.1006
192   | 2.7147e-02   | 1.1934e-04   | 1.1502e-01   | 6.7661e-04   | 410        | 0.1010
193   | 2.7615e-02   | 1.2183e-04   | 1.1423e-01   | 6.7337e-04   | 404        | 0.1006
194   | 2.9654e-02   | 1.3108e-04   | 1.2150e-01   | 7.1371e-04   | 411        | 0.1017
195   | 3.0022e-02   | 1.3284e-04   | 1.3954e-01   | 8.2227e-04   | 400        | 0.0993
196   | 3.6452e-02   | 1.6185e-04   | 1.3592e-01   | 7.9748e-04   | 414        | 0.1025
197   | 3.5037e-02   | 1.5601e-04   | 1.4506e-01   | 8.5350e-04   | 398        | 0.0989
198   | 3.5952e-02   | 1.6004e-04   | 1.4254e-01   | 8.3547e-04   | 417        | 0.1025
199   | 3.3138e-02   | 1.4765e-04   | 1.4807e-01   | 8.7135e-04   | 401        | 0.0999
200   | 3.6941e-02   | 1.6499e-04   | 1.4084e-01   | 8.2516e-04   | 417        | 0.1033
